name,team,avg,games,pa,ab,runs,hits,doubles,triples,hr,tb,rbi,bb,hbp,so,gdp,slg,obp,ops,year
이대호,롯데,0.331,142,591,540,53,179,23,0,23,271,101,43,2,56,26,0.502,0.379,0.881,2022
나성범,KIA,0.32,144,649,563,92,180,39,2,21,286,97,64,17,137,7,0.508,0.402,0.91,2022
김혜성,키움,0.318,129,566,516,81,164,18,7,4,208,48,47,0,83,9,0.403,0.373,0.776,2022
문보경,LG,0.315,126,466,406,52,128,22,3,9,183,56,47,1,56,11,0.451,0.382,0.833,2022
소크라테스,KIA,0.311,127,554,514,83,160,29,7,17,254,77,34,2,81,11,0.494,0.354,0.848,2022
페르난데스,두산,0.309,139,550,508,52,157,28,0,6,203,77,35,2,45,34,0.4,0.353,0.753,2022
조용호,KT,0.308,131,531,474,52,146,18,4,3,181,44,49,3,74,3,0.382,0.374,0.756,2022
한동희,롯데,0.307,129,499,456,43,140,27,0,14,209,65,33,6,64,15,0.458,0.359,0.817,2022
전준우,롯데,0.304,120,517,470,73,143,31,1,11,209,68,35,3,73,14,0.445,0.35,0.795,2022
최지훈,SSG,0.304,144,640,569,93,173,32,4,10,243,61,47,7,77,7,0.427,0.362,0.789,2022
박성한,SSG,0.298,140,564,494,68,147,24,4,2,185,56,60,2,81,5,0.374,0.375,0.749,2022
마티니,NC,0.296,139,576,510,67,151,34,1,16,235,85,51,8,86,8,0.461,0.365,0.826,2022
채은성,LG,0.296,126,526,467,48,138,26,2,12,204,83,27,21,88,16,0.437,0.354,0.791,2022
박해민,LG,0.289,144,636,570,97,165,20,8,3,210,49,44,9,85,4,0.368,0.347,0.715,2022
허경민,두산,0.289,121,493,432,59,125,23,0,8,172,60,36,16,40,12,0.398,0.36,0.758,2022
터크먼,한화,0.289,144,648,575,88,166,37,4,12,247,43,64,7,104,12,0.43,0.366,0.796,2022
김선빈,KIA,0.287,140,587,505,51,145,23,0,3,177,61,65,6,47,14,0.35,0.373,0.723,2022
김현수,LG,0.286,141,604,524,78,150,25,2,23,248,106,71,5,62,5,0.473,0.375,0.848,2022
홍창기,LG,0.286,118,525,437,76,125,19,4,1,155,51,59,19,75,11,0.355,0.39,0.745,2022
안치홍,롯데,0.284,132,562,493,71,140,27,3,14,215,58,51,5,52,13,0.436,0.354,0.79,2022
양의지,NC,0.283,130,510,427,61,121,24,0,20,205,94,60,13,48,16,0.48,0.38,0.86,2022
노시환,한화,0.281,115,490,434,55,122,24,1,6,166,59,48,4,95,13,0.382,0.355,0.737,2022
노진혁,NC,0.28,115,451,396,50,111,24,0,15,180,75,45,2,105,11,0.455,0.353,0.808,2022
손아섭,NC,0.277,138,617,548,72,152,29,4,4,201,48,59,3,76,9,0.367,0.347,0.714,2022
푸이그,키움,0.277,126,547,473,65,131,30,0,21,224,73,58,12,100,6,0.474,0.367,0.841,2022
박병호,KT,0.275,124,487,429,72,118,17,0,35,240,98,40,12,131,7,0.559,0.349,0.908,2022
류지혁,KIA,0.274,127,477,405,55,111,19,2,2,140,48,56,6,83,6,0.346,0.369,0.715,2022
정은원,한화,0.274,140,601,508,67,139,20,2,8,187,49,85,1,109,10,0.368,0.377,0.745,2022
박찬호,KIA,0.272,130,566,493,81,134,22,0,4,168,45,57,1,67,9,0.341,0.344,0.685,2022
오지환,LG,0.269,142,569,494,75,133,16,4,25,232,87,62,7,107,11,0.47,0.357,0.827,2022
