year,team,slot,games,woba
2021,키움,2,102,0.19823254612757424
2021,키움,3,112,0.2462848832096567
2021,키움,4,105,0.2060666524837783
2021,키움,5,32,0.20040884603625683
2021,키움,6,69,0.2020698421160629
2021,키움,7,30,0.20175197252088406
2021,키움,8,20,0.21425840336134452
2021,키움,9,39,0.2026090439273877
2021,한화,1,136,0.2065622284994465
2021,한화,2,84,0.20768695652173913
2021,한화,3,138,0.19460889236589374
2021,한화,4,75,0.22140979955456566
2021,한화,5,22,0.22140979955456566
2021,한화,6,8,0.2214097995545657
2021,한화,7,2,0.20768695652173913
2021,한화,8,20,0.20768695652173913
2022,KIA,1,127,0.1764113374249018
2022,KIA,2,66,0.18237326864902134
2022,KIA,3,136,0.22508065568517033
2022,KIA,4,121,0.20017278784622763
2022,KIA,5,87,0.19438285186029042
2022,KIA,6,110,0.19123641901852514
2022,KIA,7,85,0.1871483644407378
2022,KIA,8,61,0.1956463462777786
2022,KIA,9,76,0.17795201065973246
2022,KT,1,125,0.18870675749449672
2022,KT,2,69,0.1795781860629448
2022,KT,3,48,0.18846349564274736
2022,KT,4,111,0.23451805226195468
2022,KT,5,22,0.18469291955528833
2022,KT,6,84,0.180852346954326
2022,KT,7,42,0.17804932089224218
2022,KT,8,9,0.1788420370740963
2022,KT,9,127,0.15842131810182764
2022,LG,1,144,0.186057533112864
2022,LG,2,93,0.18373812831000355
2022,LG,3,142,0.21405147569968602
2022,LG,4,141,0.20063666322295762
2022,LG,5,135,0.20983466171945403
2022,LG,6,86,0.19899177546906469
2022,LG,7,47,0.19907944183476098
2022,LG,8,66,0.1863142378043564
2022,LG,9,28,0.1801749537119171
2022,NC,1,134,0.18055945545128538
2022,NC,2,65,0.1827804930108236
2022,NC,3,143,0.20735220921565012
2022,NC,4,144,0.21588887967752257
2022,NC,5,130,0.20935828963865774
2022,NC,6,67,0.2052000217410186
2022,NC,7,30,0.20593932584269664
2022,NC,8,1,0.20593932584269664
2022,NC,9,1,0.20593932584269664
2022,SSG,1,131,0.20734340023616718
2022,SSG,2,115,0.20076750854862263
2022,SSG,3,106,0.224539015463028
2022,SSG,4,121,0.21971746971542824
2022,SSG,5,58,0.1955153318791652
2022,SSG,6,42,0.195319950445023
2022,SSG,7,40,0.1911109538576325
2022,SSG,8,3,0.20086124401913874
2022,SSG,9,2,0.20086124401913874
2022,두산,1,74,0.17920205769219255
2022,두산,2,36,0.17576984075421576
2022,두산,3,90,0.18944005891226082
2022,두산,4,130,0.20616337428626844
2022,두산,5,105,0.19066490020117394
2022,두산,6,34,0.18597373721014748
2022,두산,7,35,0.17497832577733047
2022,두산,8,29,0.173786315647307
2022,두산,9,34,0.16859850063986095
2022,롯데,1,51,0.20135999999999998
2022,롯데,2,45,0.20120863393626182
2022,롯데,3,143,0.21300733294975743
2022,롯데,4,111,0.20795737873078704
2022,롯데,5,89,0.20950894608451173
2022,롯데,6,41,0.2088884739106204
2022,롯데,7,14,0.20534271342339755
2022,삼성,1,3,0.24764239482200648
2022,삼성,2,24,0.24764239482200648
2022,삼성,3,107,0.243856671698383
2022,삼성,4,97,0.22015036942339014
2022,삼성,5,26,0.21388636363636365
2022,삼성,6,6,0.21388636363636362
2022,삼성,7,3,0.21388636363636362
2022,키움,1,2,0.19525754884547067
2022,키움,2,64,0.19383251843981333
2022,키움,3,143,0.25098110093590553
2022,키움,4,136,0.20574867625877835
2022,키움,5,105,0.18619432811714803
2022,키움,6,42,0.17248571388513873
2022,키움,7,61,0.1663914748578683
2022,키움,8,45,0.1739866015877127
2022,키움,9,32,0.162516703493266
2022,한화,1,136,0.19854242041356626
2022,한화,2,45,0.1747693462463789
2022,한화,3,143,0.1921824244838177
2022,한화,4,91,0.18996937460302032
2022,한화,5,89,0.16669814834751326
2022,한화,6,84,0.16966319247607753
2022,한화,7,27,0.17654926196567372
2022,한화,8,2,0.16995434782608695
2022,한화,9,3,0.16995434782608695
2023,KIA,1,37,0.18882600000000002
2023,KIA,2,32,0.18878714381720432
2023,KIA,3,34,0.1882043010752688
2023,KIA,4,103,0.22902761341222883
2023,KIA,5,49,0.19986810460011453
2023,KIA,6,37,0.18930763384113258
2023,KIA,7,8,0.1885151505376344
2023,KIA,9,50,0.18882600000000005
2023,KT,1,102,0.18997594635437243
2023,KT,2,86,0.19051507928180064
2023,KT,3,119,0.20988914377503412
2023,KT,4,135,0.20487091089103368
2023,KT,5,97,0.20176639457949722
2023,KT,6,71,0.19935460308370795
2023,KT,7,30,0.1918649933636216
2023,KT,8,10,0.17947420634920638
2023,KT,9,29,0.17947420634920638
2023,LG,1,139,0.21643474947169067
2023,LG,2,105,0.19454605605959938
2023,LG,3,141,0.19369982524302812
2023,LG,4,141,0.23017384622533166
2023,LG,5,139,0.20398639554903605
2023,LG,6,109,0.20728084755160764
2023,LG,7,98,0.20351479942563677
2023,LG,8,62,0.19151294062383015
2023,LG,9,75,0.18308527451013407
2023,NC,1,141,0.21269621321923246
2023,NC,2,72,0.2018148188770973
2023,NC,3,144,0.222175029223091
2023,NC,4,128,0.21124657675797764
2023,NC,5,15,0.2122286090540079
2023,NC,6,7,0.17413333333333333
2023,NC,7,20,0.17591349301397205
2023,NC,8,41,0.17413333333333333
2023,NC,9,55,0.17413333333333333
2023,SSG,1,127,0.19690656268438392
2023,SSG,2,116,0.18261647169985526
2023,SSG,3,129,0.2345396422853176
2023,SSG,4,140,0.21817989456744982
2023,SSG,5,90,0.19224678105362614
2023,SSG,6,47,0.18657107201004933
2023,SSG,7,35,0.18499644028812623
2023,SSG,8,3,0.1818274543257269
2023,SSG,9,4,0.17824085092770314
2023,두산,1,126,0.1926981733996007
2023,두산,2,51,0.18960226597520766
2023,두산,3,144,0.20774294128665416
2023,두산,4,145,0.20621334928880747
2023,두산,5,134,0.19772756062006316
2023,두산,6,124,0.19225413752818163
2023,두산,7,78,0.19064715519510086
2023,두산,8,28,0.18477940458937617
2023,두산,9,26,0.18542878684023262
2023,롯데,1,29,0.16981632653061224
2023,롯데,2,44,0.191838210566782
2023,롯데,3,60,0.2063142742742743
2023,롯데,4,101,0.21269761246394914
2023,롯데,5,49,0.204817973492026
2023,롯데,6,13,0.19366730969588114
2023,롯데,7,12,0.1698163265306122
2023,롯데,8,8,0.16981632653061224
2023,롯데,9,33,0.16981632653061224
2023,삼성,1,108,0.18403201314246914
2023,삼성,2,65,0.18887196311049478
2023,삼성,3,136,0.21945885928759407
2023,삼성,4,133,0.20710728579906573
2023,삼성,5,74,0.19312554707465332
2023,삼성,6,52,0.18168140816677522
2023,삼성,7,48,0.17933743744925612
2023,삼성,8,32,0.18320146445571803
2023,삼성,9,28,0.18402193612447343
2023,키움,1,21,0.2161844660194175
2023,키움,2,86,0.2161844660194175
2023,키움,3,20,0.2161844660194175
2023,키움,4,4,0.2161844660194175
2023,키움,5,5,0.2161844660194175
2023,한화,1,57,0.16850973354197105
2023,한화,2,65,0.16795831038658016
2023,한화,3,140,0.23170863023175373
2023,한화,4,102,0.20389903385082847
2023,한화,5,38,0.1954767290674582
2023,한화,6,23,0.1747211879979614
2023,한화,7,20,0.1709888586726786
2023,한화,8,19,0.1706196272702328
2023,한화,9,14,0.1737091145151875
2024,KIA,1,102,0.2133220638666466
2024,KIA,2,96,0.23826156166378887
2024,KIA,3,103,0.2678384761995038
2024,KIA,4,112,0.2284337733083938
2024,KIA,5,51,0.208491508584957
2024,KIA,6,104,0.21487477478815237
2024,KIA,7,59,0.21508018143796248
2024,KIA,9,84,0.20701361313536815
2024,KT,1,107,0.25257460180792296
2024,KT,2,83,0.22747242247290014
2024,KT,3,125,0.2307817850353412
2024,KT,4,60,0.21695448722529406
2024,KT,5,76,0.20850765837054375
2024,KT,6,91,0.19420998929251432
2024,KT,7,66,0.19794398562855797
2024,KT,8,30,0.19941264224508728
2024,KT,9,5,0.20123060344827587
2024,LG,1,143,0.22204826933539706
2024,LG,2,86,0.20339158327445894
2024,LG,3,134,0.2253388963062462
2024,LG,4,145,0.2441591336957608
2024,LG,5,92,0.22272325164235102
2024,LG,6,86,0.21940905759575297
2024,LG,7,67,0.20917070091974985
2024,LG,8,78,0.1921402166268573
2024,LG,9,79,0.20126269464148605
