season,slot,pa,ab,h,d2,d3,hr,bb,ibb,hbp,sf,so,sb,tb,r,obp,slg,ops,iso,bb_pct,k_pct,rel_ops
2014,3,21489,19016,5246,1146,69,675,2028,217,236,191,3831,0.0,8555,0.0,0.34977411392110286,0.449884307951199,0.7996584218723019,0.17401135885570046,0.09437386569872959,0.17827725813206757,1.142597818703047
2014,4,20999,18690,4792,937,56,680,1942,191,177,182,4258,0.0,7881,0.0,0.32923633938354535,0.421669341894061,0.7509056812776064,0.16527554842161585,0.09248059431401495,0.2027715605505024,1.0729371066594364
2014,5,20529,18592,4784,971,94,580,1550,111,193,162,4264,0.0,7683,0.0,0.318436844416256,0.4132422547332186,0.7316790991494746,0.15592728055077454,0.07550294705051391,0.20770617175702666,1.0454650633471403
2014,6,19952,18151,4431,895,68,493,1427,89,176,149,4322,0.0,6941,0.0,0.3031703763251771,0.3824031733788772,0.6855735497040543,0.13828439204451545,0.07152165196471531,0.21661988773055332,0.9795868098509802
2014,7,19414,17643,4341,865,79,450,1371,65,170,144,4149,0.0,6714,0.0,0.3043253311258278,0.38054752593096414,0.6848728570567919,0.13450093521509948,0.07061914082620789,0.21371175440403833,0.9785856200073608
2014,8,18840,16975,4085,721,88,308,1450,191,167,103,3887,0.0,5906,0.0,0.3050013372559508,0.34792341678939614,0.6529247540453469,0.10727540500736377,0.07696390658174097,0.2063163481953291,0.9329363379962891
2014,9,18240,16253,3245,586,63,196,999,26,155,90,4899,0.0,4545,0.0,0.2514145282048351,0.27964068172029777,0.5310552099251329,0.0799852334953547,0.05476973684210526,0.26858552631578947,0.7588021433584592
2015,1,22469,20395,5478,1045,192,453,1631,56,219,114,3998,0.0,8266,0.0,0.32774274341428505,0.40529541554302523,0.7330381589573103,0.1367001716106889,0.07258890026258401,0.17793404245849836,1.0162296701598519
2015,2,21914,19713,5271,983,123,591,1747,43,214,123,4026,0.0,8273,0.0,0.3317887782722393,0.4196722974686755,0.7514610757409148,0.15228529396844723,0.07972072647622525,0.18371817103221685,1.0417698339529828
2015,3,21435,18898,5203,1069,86,753,2125,219,206,194,3918,0.0,8703,0.0,0.35167810297343977,0.46052492327230393,0.8122030262457437,0.1852047835749815,0.09913692558898997,0.1827851644506648,1.1259779636009555
2015,4,20957,18702,5015,998,78,801,1888,177,175,176,4074,0.0,8572,0.0,0.3379972303137386,0.4583467008876056,0.7963439312013442,0.19019356218586247,0.09008923032876844,0.19439805315646325,1.103992091884634
2015,5,20472,18598,4751,980,76,683,1504,106,187,160,4261,0.0,7932,0.0,0.3150276297129444,0.42649747284654266,0.7415251025594871,0.1710398967630928,0.07346619773348964,0.20813794450957404,1.027995338552577
2015,6,19971,18169,4550,923,100,542,1439,77,172,140,4258,0.0,7299,0.0,0.3092871485943775,0.4017282183939678,0.7110153669883452,0.15130166767571138,0.07205447899454209,0.21320915327224477,0.9856989067266706
2015,7,19404,17681,4395,854,111,459,1353,91,159,124,4016,0.0,6848,0.0,0.30579282497282184,0.3873084101577965,0.6931012351306183,0.1387364968044794,0.06972789115646258,0.2069676355390641,0.9608640845737926
2015,8,18810,17008,4091,772,98,371,1378,168,133,110,4045,0.0,6172,0.0,0.30071394063020024,0.36288805268109126,0.6636019933112915,0.12235418626528692,0.0732589048378522,0.21504518872939926,0.9199685262488869
2015,9,18196,16324,3352,618,75,256,1008,14,137,91,4850,0.0,4888,0.0,0.25609339407744874,0.2994364126439598,0.5555298067214085,0.0940945846606224,0.055396790503407345,0.2665420971642119,0.7701452719071076
2016,1,22598,20259,5526,1014,166,576,1880,59,225,119,4023,0.0,8600,0.0,0.3394120001779122,0.42450269016239695,0.7639146903403091,0.151735031344094,0.08319320293831313,0.17802460394725197,1.0338053841290082
2016,2,22077,19813,5273,1025,133,608,1864,48,190,110,4270,0.0,8388,0.0,0.3333940028211312,0.42335840104981576,0.756752403870947,0.15722000706606773,0.0844317615618064,0.19341396023010374,1.0241126652844441
2016,3,21530,19129,5342,1044,87,860,1988,199,193,206,4067,0.0,9140,0.0,0.34964677449340026,0.4778085629149459,0.8274553374083462,0.19854670918500705,0.09233627496516489,0.18889921040408733,1.1197949113374912
2016,4,21039,18740,4873,934,66,930,1942,157,183,164,4436,0.0,8729,0.0,0.3327785439155452,0.46579509071504804,0.7985736346305932,0.2057630736392743,0.09230476733685061,0.21084652312372262,1.080709316817567
2016,5,20569,18540,4806,986,75,769,1635,94,215,160,4370,0.0,8249,0.0,0.32389294403892943,0.4449298813376483,0.7688228253765778,0.18570658036677454,0.07948855073168361,0.21245563712382712,1.0404475609200665
2016,6,20054,18097,4587,900,75,651,1598,85,191,123,4425,0.0,7590,0.0,0.3186566045279624,0.4194065314693043,0.7380631359972667,0.16593910592915953,0.07968485090256308,0.22065423356936273,0.9988204880327765
2016,7,19485,17626,4325,852,101,481,1499,84,177,119,4187,0.0,6822,0.0,0.3089954173317543,0.3870418699648247,0.696037287296579,0.14166572109383865,0.07693097254298178,0.2148832435206569,0.9419469271381594
2016,8,18923,16915,4101,839,96,437,1581,185,164,121,4136,0.0,6443,0.0,0.311272030243331,0.38090452261306534,0.6921765528563963,0.13845699083653562,0.08354912011837447,0.21856999418696824,0.9367221970715403
2016,9,18305,16442,3443,660,74,298,1101,21,113,92,5068,0.0,5145,0.0,0.2623957629028623,0.312918136479747,0.5753138993826092,0.10351538742245468,0.060147500682873535,0.2768642447418738,0.7785720241628562
2017,1,22678,20361,5363,1038,152,642,1920,62,206,112,4288,0.0,8631,0.0,0.33138634452851895,0.4238986297333137,0.7552849742618326,0.16050292225332743,0.08466355057765235,0.18908192962342357,1.0066556978658485
2017,2,22136,19690,5300,1013,94,745,2041,56,206,110,4393,0.0,8736,0.0,0.3423141470494852,0.4436769933976638,0.785991140447149,0.17450482478415438,0.09220274665702928,0.19845500542103361,1.0475813593094307
