gameId,gameDate,year,team,opponent,home,teamScore,oppScore,name,playerCode,season_pa,season_woba,season_wrc,iso,bb_pct
20210413LTHT02021,2021-04-13,2021,롯데,KIA,0,8,0,손아섭,77532,610.0,0.20379470198675498,6.657129766430294,0.07749077490774908,0.1
20210413NCSK02021,2021-04-13,2021,NC,SSG,0,4,2,노진혁,62931,,,,,
20210413NCSK02021,2021-04-13,2021,SSG,NC,1,2,4,추신수,51817,580.0,0.22458506944444448,20.3038264705896,0.18655097613882862,0.17758620689655172
20210414HHSS02021,2021-04-14,2021,삼성,한화,1,2,6,구자욱,62404,610.0,0.22956765676567656,23.574372703753692,0.2136279926335175,0.07868852459016394
20210414HHSS02021,2021-04-14,2021,한화,삼성,0,6,2,박정현,50709,,,,,
20210414KTOB02021,2021-04-14,2021,KT,두산,0,1,3,황재균,76313,507.0,0.19776237623762374,2.6975403033476217,0.11037527593818984,0.09072978303747535
20210414KTOB02021,2021-04-14,2021,두산,KT,1,3,1,페르난데,69209,617.0,0.21611237785016288,14.742392662825116,0.12777777777777777,0.1053484602917342
20210414LGWO02021,2021-04-14,2021,LG,키움,0,13,2,라모스,50165,,,,,
20210414LGWO02021,2021-04-14,2021,키움,LG,1,2,13,김혜성,67304,635.0,0.18919462025316455,-2.9262933106136466,0.0626118067978533,0.10236220472440945
20210414LTHT02021,2021-04-14,2021,KIA,롯데,1,3,2,터커,69652,539.0,0.1822490706319703,-7.4853185090388745,0.11324786324786325,0.11317254174397032
20210414LTHT02021,2021-04-14,2021,롯데,KIA,0,2,3,손아섭,77532,610.0,0.20379470198675498,6.657129766430294,0.07749077490774908,0.1
20210414NCSK02021,2021-04-14,2021,NC,SSG,0,3,0,이명기,76849,,,,,
20210414NCSK02021,2021-04-14,2021,SSG,NC,1,0,3,추신수,51817,580.0,0.22458506944444448,20.3038264705896,0.18655097613882862,0.17758620689655172
20210415HHSS02021,2021-04-15,2021,삼성,한화,1,4,0,구자욱,62404,610.0,0.22956765676567656,23.574372703753692,0.2136279926335175,0.07868852459016394
20210415HHSS02021,2021-04-15,2021,한화,삼성,0,0,4,장운호,63700,,,,,
20210415KTOB02021,2021-04-15,2021,KT,두산,0,8,3,조용호,64868,515.0,0.1646843137254902,-19.014740039121826,0.037383177570093455,0.1436893203883495
20210415KTOB02021,2021-04-15,2021,두산,KT,1,3,8,페르난데,69209,617.0,0.21611237785016288,14.742392662825116,0.12777777777777777,0.1053484602917342
20210415LGWO02021,2021-04-15,2021,LG,키움,0,6,4,이형종,78135,,,,,
20210415LGWO02021,2021-04-15,2021,키움,LG,1,4,6,김혜성,67304,635.0,0.18919462025316455,-2.9262933106136466,0.0626118067978533,0.10236220472440945
20210415LTHT02021,2021-04-15,2021,KIA,롯데,1,10,5,김선빈,78603,564.0,0.20202673796791445,5.496646730327938,0.09381237524950099,0.09929078014184398
20210415LTHT02021,2021-04-15,2021,롯데,KIA,0,5,10,손아섭,77532,610.0,0.20379470198675498,6.657129766430294,0.07749077490774908,0.1
