순위,name,team,AVG,G,pa,ab,runs,hits,doubles,triples,hr,tb,RBI,SAC,sf,year,bb,ibb,hbp,so,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,woba,wrc_plus,iso,bb_pct
40,최지훈,SSG,0.262,136,534,461,75,121,19,6,5,167,45,8,6,2021,51,0,8,71,6,0.362,0.342,0.704,30,0.255,0.333,0.184254752851711,-6.168798394931768,0.09978308026030369,0.09550561797752809
41,배정대,KT,0.259,144,595,510,85,132,23,1,12,193,68,3,5,2021,65,2,12,132,9,0.378,0.353,0.731,35,0.22,0.0,0.19250508474576272,-0.753320419570939,0.11960784313725491,0.1092436974789916
42,최주환,SSG,0.256,116,470,406,50,104,16,0,18,174,67,0,2,2021,53,4,9,84,7,0.429,0.353,0.782,29,0.284,0.167,0.20617596566523605,8.220179734594408,0.1724137931034483,0.1127659574468085
43,오지환,LG,0.254,134,532,464,62,118,19,2,8,165,57,4,5,2021,54,0,5,82,11,0.356,0.335,0.691,30,0.248,0.25,0.1819090909090909,-7.70847955576599,0.10129310344827586,0.10150375939849623
44,서건창,LG,0.253,144,600,513,78,130,24,2,6,176,52,5,4,2021,69,2,9,78,14,0.343,0.35,0.693,32,0.24,0.286,0.18230691399662735,-7.4473504040773335,0.08966861598440545,0.115
45,박동원,키움,0.249,131,481,413,61,103,21,0,22,190,83,5,3,2021,53,0,7,114,12,0.46,0.342,0.802,26,0.277,0.2,0.21425840336134452,13.525452769980886,0.2106537530266344,0.1101871101871102
46,강진성,NC,0.249,124,462,406,49,101,20,0,7,142,38,4,2,2021,36,2,14,68,12,0.35,0.33,0.68,25,0.227,0.2,0.1795219298245614,-9.275400552753817,0.10098522167487685,0.07792207792207792
47,박찬호,KIA,0.246,131,483,418,51,103,15,5,1,131,59,8,3,2021,54,0,0,73,11,0.313,0.331,0.644,22,0.291,1.0,0.16893894736842102,-16.222019081661564,0.06698564593301436,0.11180124223602485
48,터커,KIA,0.237,127,539,468,42,111,24,1,9,164,59,0,2,2021,61,1,8,66,12,0.35,0.334,0.684,24,0.266,0.0,0.1822490706319703,-7.4853185090388745,0.11324786324786325,0.11317254174397032
49,조용호,KT,0.236,138,515,428,71,101,14,1,0,117,48,5,5,2021,74,0,3,85,8,0.273,0.349,0.622,27,0.33,0.143,0.1646843137254902,-19.014740039121826,0.037383177570093455,0.1436893203883495
50,김상수,삼성,0.235,132,496,429,46,101,17,1,3,129,42,8,4,2021,52,0,3,51,14,0.301,0.32,0.621,24,0.223,0.333,0.16395901639344262,-19.490821701984803,0.06526806526806526,0.10483870967741936
51,최형우,KIA,0.233,104,446,373,52,87,15,1,12,140,55,0,2,2021,67,10,4,67,9,0.375,0.354,0.729,22,0.264,0.333,0.1906215596330275,-1.9896571991144012,0.14209115281501342,0.15022421524663676
52,장성우,KT,0.231,127,460,385,46,89,13,0,14,144,63,9,3,2021,60,3,3,69,16,0.374,0.337,0.711,15,0.239,0.2,0.18832366071428572,-3.4979869419485534,0.14285714285714285,0.13043478260869565
53,이원석,삼성,0.231,131,480,399,40,92,19,0,9,138,59,2,8,2021,60,2,11,80,11,0.346,0.341,0.687,18,0.309,0.25,0.18177941176470588,-7.793600319306054,0.11528822055137844,0.125
54,박병호,키움,0.227,118,477,409,48,93,23,0,20,176,76,0,7,2021,47,3,14,141,9,0.43,0.323,0.753,22,0.233,0.333,0.2006054852320675,4.563743304473071,0.20293398533007334,0.09853249475890985
1,이정후,키움,0.349,142,627,553,85,193,36,10,23,318,113,0,3,2022,66,12,5,32,10,0.575,0.421,0.996,58,0.387,0.333,0.2528487804878049,45.39174961323222,0.22603978300180833,0.10526315789473684
2,피렐라,삼성,0.342,141,630,561,102,192,33,4,28,317,109,0,2,2022,55,12,12,81,19,0.565,0.411,0.976,57,0.375,0.0,0.24764239482200648,41.84455951708228,0.22281639928698752,0.0873015873015873
3,박건우,NC,0.336,111,463,408,52,137,18,1,10,187,61,0,3,2022,44,1,8,62,10,0.458,0.408,0.866,40,0.317,0.0,0.21812770562770561,21.73575084992555,0.12254901960784313,0.09503239740820735
4,이대호,롯데,0.331,142,591,540,53,179,23,0,23,271,101,0,6,2022,43,7,2,56,26,0.502,0.379,0.881,53,0.318,0.2,0.22213184931506852,24.463835118572767,0.17037037037037037,0.0727580372250423
5,나성범,KIA,0.32,144,649,563,92,180,39,2,21,286,97,0,5,2022,64,6,17,137,7,0.508,0.402,0.91,54,0.316,0.0,0.23051944012441683,30.17842888079188,0.1882770870337478,0.09861325115562404
6,김혜성,키움,0.318,129,566,516,81,164,18,7,4,208,48,0,3,2022,47,3,0,83,9,0.403,0.373,0.776,43,0.295,0.0,0.19525754884547067,6.153963628847779,0.08527131782945736,0.08303886925795052
7,문보경,LG,0.315,126,466,406,52,128,22,3,9,183,56,5,7,2022,47,1,1,56,11,0.451,0.382,0.833,35,0.287,0.25,0.21032608695652175,16.420388857794297,0.1354679802955665,0.10085836909871244
8,소크라테스,KIA,0.311,127,554,514,83,160,29,7,17,254,77,0,4,2022,34,4,2,81,11,0.494,0.354,0.848,47,0.296,0.0,0.21749636363636365,21.305607905716993,0.1828793774319066,0.061371841155234655
9,페르난데스,두산,0.309,139,550,508,52,157,28,0,6,203,77,0,5,2022,35,0,2,45,34,0.4,0.353,0.753,43,0.343,0.5,0.18917636363636364,2.010759238842238,0.09055118110236221,0.06363636363636363
10,조용호,KT,0.308,131,531,474,52,146,18,4,3,181,44,2,3,2022,49,3,3,74,3,0.382,0.374,0.756,39,0.293,0.2,0.18990114068441066,2.504560914664675,0.07383966244725738,0.09227871939736347
11,한동희,롯데,0.307,129,499,456,43,140,27,0,14,209,65,0,4,2022,33,2,6,64,15,0.458,0.359,0.817,41,0.278,0.444,0.20755533199195172,14.532631169433753,0.1513157894736842,0.06613226452905811
12,전준우,롯데,0.304,120,517,470,73,143,31,1,11,209,68,0,9,2022,35,1,3,73,14,0.445,0.35,0.795,45,0.285,0.25,0.2010503875968992,10.100713171941745,0.14042553191489363,0.06769825918762089
13,최지훈,SSG,0.304,144,640,569,93,173,32,4,10,243,61,13,4,2022,47,0,7,77,7,0.427,0.362,0.789,43,0.362,1.0,0.20086124401913874,9.971846762718613,0.12302284710017575,0.0734375
14,박성한,SSG,0.298,140,564,494,68,147,24,4,2,185,56,6,2,2022,60,1,2,81,5,0.374,0.375,0.749,35,0.31,0.0,0.18970736086175943,2.372535760965893,0.07692307692307693,0.10638297872340426
15,마티니,NC,0.296,139,576,510,67,151,34,1,16,235,85,0,7,2022,51,5,8,86,8,0.461,0.365,0.826,42,0.306,1.0,0.20927495621716286,15.704237426119505,0.16470588235294117,0.08854166666666667
16,채은성,LG,0.296,126,526,467,48,138,26,2,12,204,83,0,11,2022,27,3,21,88,16,0.437,0.354,0.791,31,0.279,0.0,0.1994130019120459,8.985137289224525,0.14132762312633834,0.051330798479087454
17,박해민,LG,0.289,144,636,570,97,165,20,8,3,210,49,7,6,2022,44,0,9,85,4,0.368,0.347,0.715,42,0.333,0.0,0.18135453100158982,-3.318374835507439,0.07894736842105263,0.06918238993710692
18,허경민,두산,0.289,121,493,432,59,125,23,0,8,172,60,2,7,2022,36,3,16,40,12,0.398,0.36,0.758,33,0.317,0.0,0.1909938524590164,3.249042140919261,0.1087962962962963,0.07302231237322515
19,터크먼,한화,0.289,144,648,575,88,166,37,4,12,247,43,0,2,2022,64,5,7,104,12,0.43,0.366,0.796,47,0.216,0.0,0.20279626749611201,11.2902078204534,0.1408695652173913,0.09876543209876543
20,김선빈,KIA,0.287,140,587,505,51,145,23,0,3,177,61,7,3,2022,65,0,6,47,14,0.35,0.373,0.723,40,0.265,0.333,0.18314680483592402,-2.097271290201037,0.06336633663366337,0.11073253833049404
21,김현수,LG,0.286,141,604,524,78,150,25,2,23,248,106,0,3,2022,71,7,5,62,5,0.473,0.375,0.848,43,0.275,0.0,0.21639597315436238,20.555895058800182,0.18702290076335878,0.11754966887417219
22,홍창기,LG,0.286,118,525,437,76,125,19,4,1,155,51,5,5,2022,59,0,19,75,11,0.355,0.39,0.745,34,0.385,0.0,0.18961346153846154,2.3085607174293536,0.06864988558352403,0.11238095238095239
23,안치홍,롯데,0.284,132,562,493,71,140,27,3,14,215,58,8,5,2022,51,4,5,52,13,0.436,0.354,0.79,38,0.222,0.333,0.20135999999999998,10.311656832366083,0.15212981744421908,0.09074733096085409
24,양의지,NC,0.283,130,510,427,61,121,24,0,20,205,94,0,10,2022,60,6,13,48,16,0.48,0.38,0.86,28,0.35,0.667,0.21740277777777778,21.2418464304778,0.19672131147540983,0.11764705882352941
25,노시환,한화,0.281,115,490,434,55,122,24,1,6,166,59,0,4,2022,48,1,4,95,13,0.382,0.355,0.737,33,0.322,1.0,0.18733537832310837,0.7564678187433844,0.10138248847926268,0.09795918367346938
26,노진혁,NC,0.28,115,451,396,50,111,24,0,15,180,75,3,5,2022,45,3,2,105,11,0.455,0.353,0.808,26,0.295,0.0,0.20593932584269664,13.431621490951557,0.17424242424242425,0.09977827050997783
27,손아섭,NC,0.277,138,617,548,72,152,29,4,4,201,48,1,6,2022,59,2,3,76,9,0.367,0.347,0.714,45,0.3,0.0,0.18117263843648207,-3.44230101903089,0.08941605839416059,0.09562398703403566
28,푸이그,키움,0.277,126,547,473,65,131,30,0,21,224,73,0,4,2022,58,1,12,100,6,0.474,0.367,0.841,37,0.268,0.0,0.2161355311355311,20.378451932393236,0.19661733615221988,0.10603290676416818
29,박병호,KT,0.275,124,487,429,72,118,17,0,35,240,98,0,6,2022,40,3,12,131,7,0.559,0.349,0.908,24,0.259,0.429,0.23499173553719005,33.22547207228261,0.28438228438228436,0.08213552361396304
30,류지혁,KIA,0.274,127,477,405,55,111,19,2,2,140,48,8,2,2022,56,0,6,83,6,0.346,0.369,0.715,28,0.305,0.286,0.18241364605543708,-2.596783568389094,0.07160493827160494,0.11740041928721175
31,정은원,한화,0.274,140,601,508,67,139,20,2,8,187,49,4,3,2022,85,0,1,109,10,0.368,0.377,0.745,37,0.254,0.333,0.19067001675041875,3.028407925159308,0.09448818897637795,0.14143094841930118
32,박찬호,KIA,0.272,130,566,493,81,134,22,0,4,168,45,8,7,2022,57,0,1,67,9,0.341,0.344,0.685,34,0.277,0.0,0.17322939068100357,-8.8541570700708,0.06896551724137931,0.10070671378091872
33,오지환,LG,0.269,142,569,494,75,133,16,4,25,232,87,3,3,2022,62,2,7,107,11,0.47,0.357,0.827,35,0.32,1.0,0.21366666666666667,18.69637685097504,0.20040485829959515,0.10896309314586995
34,오재일,삼성,0.268,135,536,470,57,126,42,0,21,231,94,0,7,2022,57,8,2,133,7,0.491,0.345,0.836,31,0.304,0.333,0.21388636363636362,18.846059752912666,0.22340425531914893,0.10634328358208955
35,이지영,키움,0.267,137,450,420,38,112,13,4,2,139,37,8,0,2022,20,2,2,44,16,0.331,0.303,0.634,26,0.262,0.364,0.16001363636363639,-17.858252393947787,0.06428571428571428,0.044444444444444446
35,박민우,NC,0.267,104,451,390,61,104,22,1,4,140,38,6,3,2022,42,5,10,55,7,0.359,0.351,0.71,28,0.264,0.0,0.17931136363636363,-4.710415976508044,0.09230769230769231,0.09312638580931264
37,배정대,KT,0.266,144,575,508,64,135,24,2,6,181,56,5,4,2022,54,0,4,126,2,0.356,0.339,0.695,34,0.281,0.333,0.17745964912280698,-5.972017364690637,0.09055118110236221,0.09391304347826086
38,최정,SSG,0.266,121,505,414,80,110,21,0,26,209,87,0,6,2022,66,3,19,96,6,0.505,0.386,0.891,27,0.292,0.5,0.22797609561752985,28.4456094115789,0.2391304347826087,0.1306930693069307
39,최형우,KIA,0.264,132,530,454,55,120,27,1,14,191,71,0,2,2022,73,5,1,92,9,0.421,0.366,0.787,33,0.282,0.286,0.20143428571428568,10.362268824430101,0.15638766519823788,0.13773584905660377
40,한유섬,SSG,0.264,135,545,458,62,121,33,1,21,219,100,0,5,2022,66,6,16,137,8,0.478,0.372,0.85,31,0.284,0.111,0.21777922077922074,21.498322798576172,0.21397379912663755,0.12110091743119267
41,강승호,두산,0.264,134,487,444,54,117,28,1,10,177,62,6,5,2022,29,0,3,100,8,0.399,0.31,0.709,34,0.299,0.25,0.18177962577962575,-3.0287512687248896,0.13513513513513514,0.059548254620123205
42,황재균,KT,0.262,141,581,519,59,136,25,3,10,197,64,2,2,2022,53,5,5,99,17,0.38,0.335,0.715,36,0.303,0.0,0.1824128919860627,-2.5972973273743793,0.11753371868978806,0.09122203098106713
43,정수빈,두산,0.259,127,455,405,58,105,12,4,3,134,41,6,4,2022,39,1,1,56,2,0.331,0.323,0.654,29,0.237,0.0,0.1663258928571429,-13.557615607623452,0.07160493827160494,0.08571428571428572
44,추신수,SSG,0.259,112,499,409,77,106,20,1,16,176,58,2,4,2022,71,1,13,100,6,0.43,0.382,0.812,29,0.299,0.25,0.20908266129032255,15.573223954622629,0.17114914425427874,0.14228456913827656
45,하주석,한화,0.258,125,483,445,50,115,18,2,5,152,58,1,3,2022,31,1,3,126,4,0.342,0.309,0.651,29,0.255,0.75,0.1654261954261954,-14.17059321271199,0.08314606741573034,0.06418219461697723
46,황대인,KIA,0.256,129,524,476,40,122,27,0,14,191,91,0,5,2022,36,2,7,92,20,0.401,0.315,0.716,34,0.296,0.0,0.18369157088122606,-1.7261138607181723,0.14495798319327732,0.06870229007633588
47,유강남,LG,0.255,139,469,416,54,106,16,0,8,146,47,6,2,2022,34,1,11,98,9,0.351,0.326,0.677,27,0.255,0.385,0.17308225108225112,-8.954405526668015,0.09615384615384616,0.07249466950959488
48,김재환,두산,0.248,128,517,448,64,111,24,1,23,206,72,0,4,2022,61,4,4,133,5,0.46,0.34,0.8,22,0.271,0.333,0.20694346978557504,14.11576010033001,0.21205357142857142,0.11798839458413926
49,송성문,키움,0.247,142,601,547,67,135,21,4,13,203,79,1,7,2022,45,6,1,65,8,0.371,0.302,0.673,31,0.269,0.0,0.17145622895622895,-10.062239243143562,0.12431444241316271,0.07487520798668885
50,양석환,두산,0.244,107,446,405,58,99,14,1,20,175,51,0,2,2022,32,3,7,101,3,0.432,0.309,0.741,23,0.245,0.0,0.19245598194130925,4.2452132953054385,0.18765432098765433,0.07174887892376682
51,박동원,KIA,0.242,123,447,385,52,93,21,0,18,168,57,7,1,2022,45,4,9,95,9,0.436,0.334,0.77,21,0.234,0.077,0.19955963302752297,9.085039308397745,0.19480519480519481,0.10067114093959731
52,김태연,한화,0.24,119,464,404,46,97,18,0,7,136,53,3,4,2022,48,1,5,106,9,0.337,0.325,0.662,25,0.239,0.0,0.16995434782608695,-11.085493802526498,0.09653465346534654,0.10344827586206896
53,심우준,KT,0.24,132,449,388,69,93,8,2,4,117,34,11,4,2022,43,0,2,75,11,0.302,0.316,0.618,23,0.175,0.333,0.15811670480549198,-19.150660845424305,0.061855670103092786,0.0957683741648107
1,손아섭,NC,0.339,140,609,551,97,187,36,3,5,244,65,1,5,2023,50,2,2,67,10,0.443,0.393,0.836,54,0.339,0.333,0.21499669966996696,18.964754251710865,0.10344827586206896,0.08210180623973727
2,구자욱,삼성,0.336,119,515,453,65,152,37,1,11,224,71,2,3,2023,53,2,4,81,5,0.494,0.407,0.901,50,0.395,0.0,0.23325636007827785,30.99431821054469,0.15894039735099338,0.1029126213592233
3,김혜성,키움,0.335,137,621,556,104,186,29,6,7,248,57,0,5,2023,57,3,3,77,6,0.446,0.396,0.842,50,0.314,0.0,0.2161844660194175,19.747261206898393,0.11151079136690648,0.09178743961352658
4,홍창기,LG,0.332,141,643,524,109,174,35,2,1,216,65,3,6,2023,88,3,22,83,6,0.412,0.444,0.856,58,0.361,0.5,0.21879120879120875,21.4645975754991,0.08015267175572519,0.1368584758942457
5,에레디아,SSG,0.323,122,523,473,76,153,29,0,12,218,76,1,1,2023,39,4,9,75,13,0.461,0.385,0.846,43,0.338,0.0,0.21822586872586874,21.092148454188848,0.13742071881606766,0.0745697896749522
6,김선빈,KIA,0.32,119,473,419,41,134,16,0,0,150,48,8,3,2023,38,0,5,26,10,0.358,0.381,0.739,36,0.333,0.0,0.1882043010752688,1.3137757943680533,0.03818615751789976,0.080338266384778
7,박건우,NC,0.319,130,533,458,70,146,34,2,12,220,85,1,9,2023,56,0,9,71,14,0.48,0.397,0.877,49,0.304,0.0,0.22607706766917293,26.264561178744184,0.1615720524017467,0.1050656660412758
8,박민우,NC,0.316,124,509,452,76,143,20,7,2,183,46,5,3,2023,40,3,9,57,13,0.405,0.381,0.786,39,0.309,0.0,0.20202195608782433,10.416922348998515,0.08849557522123894,0.07858546168958742
9,오스틴,LG,0.313,139,583,520,87,163,29,4,23,269,95,0,7,2023,53,2,3,75,11,0.517,0.376,0.893,43,0.299,0.5,0.23127022375215145,29.685840756318527,0.20384615384615384,0.09090909090909091
10,전준우,롯데,0.312,138,559,493,80,154,21,3,17,232,77,0,7,2023,52,4,7,65,12,0.471,0.381,0.852,45,0.29,0.3,0.2182594594594595,21.114278212854583,0.15821501014198783,0.09302325581395349
11,양의지,두산,0.305,129,510,439,56,134,23,0,17,208,68,0,3,2023,57,8,11,56,20,0.474,0.396,0.87,31,0.315,0.667,0.22243227091633466,23.863349180559275,0.16856492027334852,0.11176470588235295
12,최형우,KIA,0.302,121,508,431,64,130,27,1,17,210,81,0,4,2023,65,1,8,83,5,0.487,0.4,0.887,35,0.317,0.667,0.22902761341222883,28.20839682167874,0.18561484918793503,0.1279527559055118
13,박찬호,KIA,0.301,130,507,452,73,136,18,4,3,171,52,7,6,2023,40,0,2,56,13,0.378,0.356,0.734,42,0.355,0.0,0.18882600000000002,1.723354439915502,0.07743362831858407,0.07889546351084813
14,문보경,LG,0.301,131,542,469,77,141,29,5,10,210,72,9,4,2023,58,2,2,83,5,0.448,0.377,0.825,39,0.281,0.25,0.21417137476459508,18.421025698496873,0.14712153518123666,0.1070110701107011
15,노시환,한화,0.298,131,595,514,85,153,30,1,31,278,101,0,3,2023,74,5,4,118,13,0.541,0.388,0.929,47,0.299,0.0,0.2402525423728814,35.60344129929,0.24319066147859922,0.12436974789915967
16,최정,SSG,0.297,128,552,471,94,140,31,0,29,258,87,1,6,2023,59,6,15,87,12,0.548,0.388,0.936,39,0.264,0.0,0.2410770642201835,36.14664079346359,0.2505307855626327,0.1068840579710145
17,김민혁,KT,0.297,113,448,397,68,118,20,3,3,153,41,7,5,2023,36,0,3,48,4,0.385,0.356,0.741,33,0.284,0.286,0.19156916099773247,3.5305638804909307,0.08816120906801007,0.08035714285714286
18,황재균,KT,0.295,109,457,407,62,120,26,2,6,168,49,3,1,2023,45,1,1,64,15,0.413,0.366,0.779,35,0.314,0.0,0.20279249448123624,10.924557249046629,0.11793611793611794,0.09846827133479212
19,문성주,LG,0.294,136,534,449,77,132,21,4,2,167,57,6,4,2023,67,0,8,34,10,0.372,0.392,0.764,31,0.297,0.375,0.19762310606060604,7.51893593717809,0.0779510022271715,0.1254681647940075
