gameId,gameDate,team,opponent,homeAway,teamScore,oppScore,batOrder,playerCode,name,pos,ab,hit,hr,bb,kk,run,rbi
20210404LTSK02021,2021-04-04,롯데,SSG,away,3,5,8,68525,한동희,三,3,0,0,0,1,0,0
20210404LTSK02021,2021-04-04,롯데,SSG,away,3,5,8,76100,이병규,교,0,0,0,1,0,0,0
20210404LTSK02021,2021-04-04,롯데,SSG,away,3,5,8,65515,강로한,교,0,0,0,0,0,0,0
20210404LTSK02021,2021-04-04,롯데,SSG,away,3,5,9,50506,마차도,유,4,1,0,0,1,0,0
20210404LTSK02021,2021-04-04,SSG,롯데,home,5,3,1,50854,최지훈,중좌,2,1,0,2,0,0,0
20210404LTSK02021,2021-04-04,SSG,롯데,home,5,3,2,67872,로맥,一,4,0,0,0,0,0,0
20210404LTSK02021,2021-04-04,SSG,롯데,home,5,3,3,51817,추신수,지,3,0,0,1,2,0,0
20210404LTSK02021,2021-04-04,SSG,롯데,home,5,3,4,75847,최정,三,4,3,2,0,0,3,2
20210404LTSK02021,2021-04-04,SSG,롯데,home,5,3,5,76267,최주환,二,4,3,2,0,0,2,3
20210404LTSK02021,2021-04-04,SSG,롯데,home,5,3,6,62895,한유섬,우,4,1,0,0,1,0,0
20210404LTSK02021,2021-04-04,SSG,롯데,home,5,3,7,60558,오태곤,좌,3,0,0,0,3,0,0
20210404LTSK02021,2021-04-04,SSG,롯데,home,5,3,7,71837,김강민,교,1,0,0,0,1,0,0
20210404LTSK02021,2021-04-04,SSG,롯데,home,5,3,8,76812,이재원,포,3,1,0,0,1,0,0
20210404LTSK02021,2021-04-04,SSG,롯데,home,5,3,9,67893,박성한,유,3,0,0,0,0,0,0
20210404SSWO02021,2021-04-04,삼성,키움,away,4,7,1,62415,박해민,중,3,1,0,1,1,1,1
20210404SSWO02021,2021-04-04,삼성,키움,away,4,7,2,79402,김상수,二,4,1,0,1,0,1,0
20210404SSWO02021,2021-04-04,삼성,키움,away,4,7,2,50458,김지찬,교,0,0,0,0,0,0,0
20210404SSWO02021,2021-04-04,삼성,키움,away,4,7,3,62404,구자욱,우,3,0,0,2,2,1,0
20210404SSWO02021,2021-04-04,삼성,키움,away,4,7,4,51463,피렐라,좌,4,0,0,1,1,0,0
20210404SSWO02021,2021-04-04,삼성,키움,away,4,7,5,75566,이원석,지,3,0,0,0,2,0,0
20210404SSWO02021,2021-04-04,삼성,키움,away,4,7,5,61404,김헌곤,교,1,1,0,0,0,0,0
20210404SSWO02021,2021-04-04,삼성,키움,away,4,7,6,64610,강한울,三,4,1,0,0,1,0,0
20210404SSWO02021,2021-04-04,삼성,키움,away,4,7,6,69418,박승규,교,1,0,0,0,0,0,0
20210404SSWO02021,2021-04-04,삼성,키움,away,4,7,7,74540,강민호,포,4,2,0,0,0,1,1
20210404SSWO02021,2021-04-04,삼성,키움,away,4,7,8,69453,이학주,유,4,2,0,0,2,0,0
20210404SSWO02021,2021-04-04,삼성,키움,away,4,7,9,64407,김호재,一,3,0,0,0,0,0,0
20210404SSWO02021,2021-04-04,삼성,키움,away,4,7,9,64469,송준석,교,1,0,0,0,0,0,0
20210404SSWO02021,2021-04-04,삼성,키움,away,4,7,9,64266,이성곤,교,0,0,0,0,0,0,0
20210404SSWO02021,2021-04-04,키움,삼성,home,7,4,1,74163,이용규,좌,2,0,0,1,1,0,0
20210404SSWO02021,2021-04-04,키움,삼성,home,7,4,1,68305,변상권,교,2,0,0,0,1,0,0
20210404SSWO02021,2021-04-04,키움,삼성,home,7,4,2,67304,김혜성,유,5,3,0,0,1,1,1
20210404SSWO02021,2021-04-04,키움,삼성,home,7,4,3,67341,이정후,중,5,1,0,0,1,0,0
20210404SSWO02021,2021-04-04,키움,삼성,home,7,4,4,75125,박병호,一,4,1,1,1,0,2,1
20210404SSWO02021,2021-04-04,키움,삼성,home,7,4,5,78168,서건창,二,3,1,0,0,1,1,0
20210404SSWO02021,2021-04-04,키움,삼성,home,7,4,6,51324,프레이타,지,4,2,0,0,0,1,2
20210404SSWO02021,2021-04-04,키움,삼성,home,7,4,7,65362,송우현,우,2,0,0,2,0,0,0
20210404SSWO02021,2021-04-04,키움,삼성,home,7,4,8,68346,김수환,三,3,2,1,0,1,1,2
20210404SSWO02021,2021-04-04,키움,삼성,home,7,4,8,65586,전병우,교,0,0,0,1,0,0,0
20210404SSWO02021,2021-04-04,키움,삼성,home,7,4,9,79365,박동원,포,1,1,0,1,0,1,1
20210404SSWO02021,2021-04-04,키움,삼성,home,7,4,9,65399,허정협,교,1,0,0,0,0,0,0
20210404SSWO02021,2021-04-04,키움,삼성,home,7,4,9,62332,김재현,교,0,0,0,0,0,0,0
20210406HHSK02021,2021-04-06,한화,SSG,away,1,2,1,68743,정은원,二,2,0,0,2,1,0,0
20210406HHSK02021,2021-04-06,한화,SSG,away,1,2,2,61208,정진호,좌,4,0,0,0,1,0,0
20210406HHSK02021,2021-04-06,한화,SSG,away,1,2,3,62700,하주석,유,4,0,0,0,0,0,0
20210406HHSK02021,2021-04-06,한화,SSG,away,1,2,4,51725,힐리,一,4,0,0,0,3,0,0
20210406HHSK02021,2021-04-06,한화,SSG,away,1,2,5,73136,이성열,지,3,0,0,0,1,0,0
20210406HHSK02021,2021-04-06,한화,SSG,away,1,2,6,61554,김민하,중,2,0,0,0,0,0,0
20210406HHSK02021,2021-04-06,한화,SSG,away,1,2,7,50704,임종찬,우,3,1,1,0,1,1,1
20210406HHSK02021,2021-04-06,한화,SSG,away,1,2,8,60343,이해창,포,3,0,0,0,0,0,0
20210406HHSK02021,2021-04-06,한화,SSG,away,1,2,9,61700,강경학,三,3,1,0,0,1,0,0
20210406HHSK02021,2021-04-06,SSG,한화,home,2,1,1,50854,최지훈,중좌,2,1,0,2,0,0,1
20210406HHSK02021,2021-04-06,SSG,한화,home,2,1,2,67872,로맥,一,3,0,0,1,1,0,0
20210406HHSK02021,2021-04-06,SSG,한화,home,2,1,3,51817,추신수,지,4,0,0,0,1,0,0
20210406HHSK02021,2021-04-06,SSG,한화,home,2,1,4,75847,최정,三,4,0,0,0,4,0,0
20210406HHSK02021,2021-04-06,SSG,한화,home,2,1,5,76267,최주환,二,3,1,1,0,2,1,1
20210406HHSK02021,2021-04-06,SSG,한화,home,2,1,6,62895,한유섬,우,3,1,0,0,1,0,0
20210406HHSK02021,2021-04-06,SSG,한화,home,2,1,7,60558,오태곤,좌,2,0,0,0,1,0,0
20210406HHSK02021,2021-04-06,SSG,한화,home,2,1,7,71837,김강민,교,1,0,0,0,1,0,0
20210406HHSK02021,2021-04-06,SSG,한화,home,2,1,8,76812,이재원,포,3,1,0,0,0,1,0
20210406HHSK02021,2021-04-06,SSG,한화,home,2,1,9,67893,박성한,유,3,1,0,0,1,0,0
20210406HTWO02021,2021-04-06,KIA,키움,away,5,4,1,66606,최원준,우,4,2,0,0,0,0,3
20210406HTWO02021,2021-04-06,KIA,키움,away,5,4,1,64560,이창진,교,1,1,0,0,0,0,1
20210406HTWO02021,2021-04-06,KIA,키움,away,5,4,2,78603,김선빈,二,4,2,0,2,1,0,0
20210406HTWO02021,2021-04-06,KIA,키움,away,5,4,2,66614,김규성,교,0,0,0,0,0,0,0
20210406HTWO02021,2021-04-06,KIA,키움,away,5,4,3,69652,터커,一,6,0,0,0,2,0,0
20210406HTWO02021,2021-04-06,KIA,키움,away,5,4,4,72443,최형우,지,6,1,1,0,3,1,1
20210406HTWO02021,2021-04-06,KIA,키움,away,5,4,5,78629,나지완,좌,5,0,0,0,2,0,0
20210406HTWO02021,2021-04-06,KIA,키움,away,5,4,5,63260,이우성,교,0,0,0,0,0,0,0
20210406HTWO02021,2021-04-06,KIA,키움,away,5,4,6,62864,김민식,포,3,1,0,0,1,0,0
20210406HTWO02021,2021-04-06,KIA,키움,away,5,4,6,78643,백용환,교,1,0,0,0,0,0,0
20210406HTWO02021,2021-04-06,KIA,키움,away,5,4,6,63722,한승택,교,1,1,0,0,0,0,0
20210406HTWO02021,2021-04-06,KIA,키움,away,5,4,7,62234,류지혁,三,4,2,0,0,1,0,0
20210406HTWO02021,2021-04-06,KIA,키움,away,5,4,7,62893,최정민,교,0,0,0,0,0,1,0
20210406HTWO02021,2021-04-06,KIA,키움,away,5,4,7,73209,나주환,교,1,0,0,0,0,0,0
20210406HTWO02021,2021-04-06,KIA,키움,away,5,4,8,65653,김호령,중,3,1,0,0,0,2,0
20210406HTWO02021,2021-04-06,KIA,키움,away,5,4,9,64646,박찬호,유,5,2,0,0,0,1,0
20210406HTWO02021,2021-04-06,키움,KIA,home,4,5,1,74163,이용규,좌,3,0,0,0,1,0,0
20210406HTWO02021,2021-04-06,키움,KIA,home,4,5,1,65399,허정협,교,1,0,0,0,0,0,0
20210406HTWO02021,2021-04-06,키움,KIA,home,4,5,1,68305,변상권,교,1,0,0,0,1,0,0
20210406HTWO02021,2021-04-06,키움,KIA,home,4,5,2,67304,김혜성,유,5,0,0,0,3,1,0
20210406HTWO02021,2021-04-06,키움,KIA,home,4,5,3,67341,이정후,중,5,1,0,0,1,1,2
20210406HTWO02021,2021-04-06,키움,KIA,home,4,5,4,75125,박병호,一,4,0,0,1,1,1,0
20210406HTWO02021,2021-04-06,키움,KIA,home,4,5,5,78168,서건창,二,4,1,0,0,1,0,1
20210406HTWO02021,2021-04-06,키움,KIA,home,4,5,5,50312,신준우,교,1,0,0,0,0,0,0
20210406HTWO02021,2021-04-06,키움,KIA,home,4,5,6,51324,프레이타,지,4,2,0,0,0,0,1
20210406HTWO02021,2021-04-06,키움,KIA,home,4,5,7,65362,송우현,우,4,0,0,0,2,0,0
20210406HTWO02021,2021-04-06,키움,KIA,home,4,5,8,68346,김수환,三,3,1,0,0,2,1,0
20210406HTWO02021,2021-04-06,키움,KIA,home,4,5,8,65586,전병우,교,1,0,0,0,1,0,0
20210406HTWO02021,2021-04-06,키움,KIA,home,4,5,9,79365,박동원,포,2,0,0,1,0,0,0
20210406LGKT02021,2021-04-06,LG,KT,away,3,2,1,66108,홍창기,중,3,0,0,1,0,0,1
20210406LGKT02021,2021-04-06,LG,KT,away,3,2,2,50165,라모스,一,4,1,0,0,0,0,0
20210406LGKT02021,2021-04-06,LG,KT,away,3,2,2,69100,구본혁,교,0,0,0,0,0,0,0
20210406LGKT02021,2021-04-06,LG,KT,away,3,2,3,76290,김현수,좌,4,0,0,0,1,0,0
20210406LGKT02021,2021-04-06,LG,KT,away,3,2,4,78135,이형종,우,4,0,0,0,0,0,0
20210406LGKT02021,2021-04-06,LG,KT,away,3,2,5,79192,채은성,지,4,0,0,0,1,0,0
20210406LGKT02021,2021-04-06,LG,KT,away,3,2,6,77564,김민성,三,3,0,0,0,1,0,0
20210406LGKT02021,2021-04-06,LG,KT,away,3,2,7,61102,유강남,포,3,1,0,0,1,1,0
20210406LGKT02021,2021-04-06,LG,KT,away,3,2,8,79150,정주현,二,2,1,0,0,1,1,0
20210406LGKT02021,2021-04-06,LG,KT,away,3,2,8,78217,김용의,교,0,0,0,0,0,0,0
20210406LGKT02021,2021-04-06,LG,KT,away,3,2,9,79109,오지환,유,3,1,0,0,1,1,1
20210406LGKT02021,2021-04-06,KT,LG,home,2,3,1,64868,조용호,좌,4,1,0,0,1,1,1
20210406LGKT02021,2021-04-06,KT,LG,home,2,3,2,76313,황재균,三,4,1,0,0,2,0,1
20210406LGKT02021,2021-04-06,KT,LG,home,2,3,3,51004,알몬테,지,4,1,0,0,0,0,0
20210406LGKT02021,2021-04-06,KT,LG,home,2,3,4,68050,강백호,一,4,0,0,0,2,0,0
20210406LGKT02021,2021-04-06,KT,LG,home,2,3,5,74339,유한준,우,3,0,0,1,0,0,0
20210406LGKT02021,2021-04-06,KT,LG,home,2,3,6,78548,장성우,포,2,0,0,2,0,0,0
20210406LGKT02021,2021-04-06,KT,LG,home,2,3,7,73113,박경수,二,3,1,0,0,1,0,0
20210406LGKT02021,2021-04-06,KT,LG,home,2,3,8,64166,배정대,중,2,0,0,1,2,1,0
20210406LGKT02021,2021-04-06,KT,LG,home,2,3,9,64006,심우준,유,2,0,0,0,1,0,0
20210406LGKT02021,2021-04-06,KT,LG,home,2,3,9,64007,문상철,교,1,0,0,0,1,0,0
20210406LGKT02021,2021-04-06,KT,LG,home,2,3,9,62556,신본기,교,0,0,0,0,0,0,0
20210406LTNC02021,2021-04-06,롯데,NC,away,10,5,1,79608,안치홍,二,6,2,1,0,0,1,1
20210406LTNC02021,2021-04-06,롯데,NC,away,10,5,2,77532,손아섭,우,5,1,0,1,1,2,0
20210406LTNC02021,2021-04-06,롯데,NC,away,10,5,3,78513,전준우,좌,3,3,0,1,0,1,0
20210406LTNC02021,2021-04-06,롯데,NC,away,10,5,3,65515,강로한,교,2,0,0,0,2,0,0
20210406LTNC02021,2021-04-06,롯데,NC,away,10,5,4,71564,이대호,지,5,3,1,0,0,1,5
20210406LTNC02021,2021-04-06,롯데,NC,away,10,5,4,65506,김재유,교,0,0,0,0,0,1,0
20210406LTNC02021,2021-04-06,롯데,NC,away,10,5,5,60523,정훈,一중,5,1,0,0,2,1,0
20210406LTNC02021,2021-04-06,롯데,NC,away,10,5,6,68362,추재현,중,3,2,0,0,1,0,0
20210406LTNC02021,2021-04-06,롯데,NC,away,10,5,6,64504,오윤석,교,1,0,0,1,0,0,0
20210406LTNC02021,2021-04-06,롯데,NC,away,10,5,7,62558,김준태,포,3,0,0,0,1,0,0
20210406LTNC02021,2021-04-06,롯데,NC,away,10,5,7,65514,강태율,교,0,0,0,0,0,0,0
20210406LTNC02021,2021-04-06,롯데,NC,away,10,5,7,76100,이병규,교,0,0,0,1,0,0,0
20210406LTNC02021,2021-04-06,롯데,NC,away,10,5,7,64717,지시완,교,1,1,0,0,0,1,1
20210406LTNC02021,2021-04-06,롯데,NC,away,10,5,8,68525,한동희,三,5,1,1,0,2,1,3
20210406LTNC02021,2021-04-06,롯데,NC,away,10,5,9,50506,마차도,유,0,0,0,0,0,0,0
20210406LTNC02021,2021-04-06,롯데,NC,away,10,5,9,67504,김민수,교,4,1,0,0,1,1,0
20210406LTNC02021,2021-04-06,NC,롯데,home,5,10,1,62907,박민우,二,5,1,0,0,1,0,0
20210406LTNC02021,2021-04-06,NC,롯데,home,5,10,2,76849,이명기,좌,5,2,0,0,0,1,1
