year,name,code,PA,AB,R,H,2B,3B,HR,TB,SB,CS,BB,HP,IB,SO,SH,SF
2021,안상현,9002,40,39,9,10,2,0,1,15,3,1,1,0,0,15,0,0
2021,박경수,12001,280,239,24,46,10,0,9,83,0,1,34,3,2,76,4,0
2021,김주형,10001,70,50,5,9,3,0,0,12,1,0,4,13,0,15,3,0
2021,허경민,6002,518,468,61,130,24,1,5,171,5,7,36,8,1,35,3,3
2021,정현,11001,149,117,14,26,5,1,0,33,0,1,17,7,0,24,8,0
2021,한석현,5002,26,21,5,6,2,1,0,10,2,0,3,1,0,7,0,1
2021,박정우,2002,61,48,3,9,1,0,0,10,0,2,10,2,0,8,1,0
2021,이정훈,2002,151,129,14,32,6,0,2,44,0,0,19,3,0,33,0,0
2021,안권수,6002,47,42,17,10,0,1,0,12,3,0,3,0,0,3,2,0
2021,문상철,12001,106,96,14,21,6,0,2,33,2,0,8,2,0,33,0,0
2021,이영빈,5002,169,148,21,36,9,0,2,51,6,3,15,3,0,51,2,1
2021,이병규,3001,43,34,4,8,0,0,0,8,0,0,8,1,0,14,0,0
2021,변상권,10001,171,159,19,38,5,4,0,51,0,0,9,0,0,40,0,3
2021,강경학,2002,39,33,3,5,0,0,0,5,1,0,5,1,0,13,0,0
2021,천성호,12001,47,42,13,12,1,0,0,13,1,0,3,2,0,9,0,0
2021,송준석,1001,55,51,5,12,2,0,2,20,0,0,3,1,0,13,0,0
2021,남태혁,9002,22,20,2,6,1,0,1,10,0,0,1,1,0,7,0,0
2021,이정범,9002,66,59,8,15,4,0,3,28,0,0,7,0,0,15,0,0
2021,정범모,11001,23,19,2,4,1,0,1,8,0,0,2,1,0,4,1,0
2021,최승민,11001,34,31,8,7,1,0,0,8,4,3,1,0,0,7,2,0
2021,신민재,5002,27,23,8,3,0,0,0,3,2,1,4,0,0,6,0,0
2021,이우성,2002,100,85,12,17,5,0,0,22,2,1,13,0,0,17,1,1
2021,강민국,12001,50,45,2,11,2,0,0,13,0,0,3,0,0,6,2,0
2021,최정용,2002,65,52,7,10,1,0,0,11,2,0,9,0,0,16,3,1
2021,유민상,2002,74,60,7,14,2,0,1,19,0,0,8,6,0,18,0,0
2021,오준혁,9002,50,46,7,10,2,0,2,18,0,0,4,0,0,15,0,0
2021,이상호,5002,68,65,5,20,2,0,0,22,2,1,1,0,0,10,2,0
2021,허정협,10001,52,45,5,7,0,0,0,7,0,0,7,0,0,10,0,0
2021,김호재,1001,90,75,9,17,2,0,0,19,0,0,9,2,0,14,3,1
2021,구본혁,5002,45,38,10,5,2,0,0,7,0,0,3,1,0,7,1,2
2021,이성우,5002,39,33,0,7,0,0,0,7,0,0,1,0,0,8,5,0
2021,박준태,10001,58,46,10,9,3,0,0,12,1,0,10,2,0,16,0,0
2021,지석훈,11001,43,34,6,5,1,0,0,6,0,0,6,2,0,12,0,1
2021,정보근,3001,20,18,0,5,0,0,0,5,0,1,2,0,0,2,0,0
2021,전민수,11001,109,98,12,25,3,0,3,37,0,0,11,0,1,23,0,0
2021,김수환,10001,44,41,5,9,2,0,2,17,0,0,2,0,0,17,0,1
2021,김상수,1001,496,429,46,101,17,1,3,129,4,2,52,3,0,51,8,4
2021,김건형,12001,39,33,4,7,1,0,0,8,1,0,6,0,1,6,0,0
2021,임지열,10001,30,25,5,3,0,0,0,3,0,1,4,1,0,10,0,0
2021,정진호,7002,167,145,9,33,9,0,0,42,4,1,15,1,1,22,4,2
2021,크레익,10001,247,222,25,55,12,0,6,85,0,1,20,4,1,43,0,1
2021,강로한,3001,35,33,7,4,0,0,2,10,0,0,2,0,0,18,0,0
2021,김석환,2002,20,19,1,5,0,0,1,8,0,0,0,1,0,7,0,0
2021,김규성,2002,41,36,8,5,1,0,0,6,0,1,5,0,0,17,0,0
2021,김재현,10001,51,46,2,10,7,0,0,17,0,1,3,0,0,12,2,0
